raw_skill,normalized_skill
Final Top Secret/SSBI Clearance or eligibility to obtain one,Single Scope Background Investigation (SSBI)
One year dialysis experience,Dialysis
Cisco Prime Infrastructure,Cisco Network Systems
Veterinary Memberships,Veterinary Medicine
Risk Management Plan (RMP),Risk Management
Market Competitor Monitoring,Market Tracking
Clinical Services Management,Clinical Medicine
Meridian Document Management System,Document Management
Health & Safety Advisor,Safety/Work Safety
FCSD eCommerce landscape,eCommerce
Fire Alarm System,Fire Alarm
MIS Operations,Management of Information Systems/Technology (MIS)
ShortTerm Goal Setting,Set Goals
2+ years in retail sales customer service or management (preferred),Retail Sales
Databases/email systems,Email Technology
Alberta College of Social Workers (ACSW),Social Work
Standards for Internal Control in the Federal Government (Green Book)/COSO,Committee of Sponsoring Organizations of the Treadway Commission (COSO)
Typing (3045 Words Per Minute),Typing
Research Writing and Analysis,Analysis Skills
MLT (Medical Laboratory technician),Clinical Laboratory
IOSH Managing Safely certificate or SMSTS,Digital Certificates
Supplier Management Actions,Vendor/Supplier Management
Writing training programs,Training Program
NoSQL dB,NoSQL
Participation in performance improvement activities,Performance Management
FOOD SERVICE,Food Services
Above Average Customer Service Skills,Customer Support/Service
General laboratory equipment,Laboratory Equipment
Wellness programs coordination,Project/Program Coordination
Ops Manager,Operations Management
Proficient in reviewing and understanding construction documents,Construction Document Set
Knowledge of plant operating procedures,Operations Processes
Consulting Business Model,Consulting
Principles of Marketing,Marketing
Marketing legal and administrative support,Marketing
Manufacturing Market,Manufacturing
Digital or analog circuit design,Analog Circuit Design
Private security management experience,Private Security
Skin care expertise,Skin Care
Radiation Therapy principles,Radiation Therapy
Floor Care Cleaning,Housekeeping/Cleaning
Patient care coordination and supervision,Patient Care
25 years' Experience as RN (Preferred),Registered Nurse (RN)
Mixed signal circuit architecture,Mixed Signal Circuits
Critical and analytical thinking skills,Analysis Skills
Strength through Diversity,Diversity
Field customer service,Customer Support/Service
Final product testing,Product Testing
SSL,SSL-TLS (Secure Socket Layer - Transport Layer Security)
Master's Degree in Engineering (Mechanical Electrical Systems Computer Management) (Desired),Systems Administration/Management
Fieldprogrammable gate arrays (FPGA),FPGA
Ability to lead multiple sophisticated projects,Leadership
Certified BLS Provider (Basic Life Support),Basic Life Support (BLS)
Optoelectronic modules,Optoelectronics
DoD 8570 IAM Level III certification,DoD Directive 8570
Basic Physiology,Physiology
Newfoundland and Labrador Pharmacy Board License,Pharmacy
Bachelor's in Food and Nutrition,Nutrition
Exceptional Teaching of Core Curriculum,Training/Teaching Curriculum
patient demographics,Medical Records
F80 Fire Safety,Fire Safety
Professional Engineer certification (P.Eng),Professional Engineer
Strategic & risk management decisions,Risk Management
Database Technical Design and Build,Technical/Engineering Design
8+ Years of Experience in Asset Liability Management Interest Rate Risk Management,Interest Rates
Background Live Scan check/fingerprinting,Background Investigation
Level 3 or above in childcare,Childcare
Nurse Specialty Certification,Nursing Credentials
Doctor of Osteopathic (D.O.),Osteopathy
Continuous improvement (CI),Continuous Improvement
Wellrounded private client experience,Customer Experience
Accountancy or Law research,Accounting Standards and Regulations
Sales Pipeline Reporting Tools,Sales Pipeline
FPGA/SOC,FPGA
Inpatient Psychiatric Services,Psychiatry and Mental Health
CI/CD processes,Continuous Deployment/Delivery
Forecasts and Reconciliations of Tax Returns,Forecasting
Operating diagnostic and peripheral equipment,Peripheral Hardware
international sales,International Sales
Certified Ophthalmic Tech.,Ophthalmology
business continuity planning,Business Continuity Planning (BCP)
Hospice Training Program,Hospice Care
Prior Experience as a Clerical Coordinator,Organizational Skills
MA DOT Professional Driving Instructor license,Driving Instructor
Previous project leader or supervisory experience,People Management
Advanced ICU,Intensive Care
Production Schedule Creation,Production Schedule
Cardiovascular intensive care recovery unit,Cardiovascular Intensive Care Unit (CVICU)
Email and Web security,Internet Security
Ability to learn teamwork initiative reliability flexibility and aboveaverage commitment,Team Player
Electron optics,Optics
Agile Product or Technology Development experience,Agile Programming Methodologies
Labor and Safety Regulations,Regulations
Referee letter,Sports Officiating
Ability to input and access information in the property management system/computers/point of sales system,Property Management
Sales Lifecycle Experience,Sales Cycle
Gas plasma,Plasma
Bachelor's degree in accounting finance or analytical discipline,Accounting
Infection control programs coordination,Infection Control
Marketing Policies,Marketing
CPA professional accounting,Certified Public Accountant (CPA)
Swim Instructor Experience,Training/Teaching
WMD pathways and networks analysis,Network Performance/Analysis
Basic customer and technical presentations,Technical Presentation
100 Pound Lifting,Lift/Move 100 Pounds
Allied Physical Therapist,Physical Therapy
Funds Law,Legal
SQL/MP,SQL (Structured Query Language)
Technical Process Improvement,Process Improvement
Experience in intellectual and developmental disabilities,Developmental Disabilities
MSc in Military Construction Engineering (Civil),Construction Engineering
Mentoring/guiding staff,Mentoring
QC/QA processes,Quality Control
Group Legal Coverage,Legal
Reusable IP,IP (Internet Protocol)
Evaluation of Care Plan,Health Plan
Weekly deadline management,Time Management
Scientific Literacy,Literacy
Hardware and Software Components,Hardware Components
Customer Account Manager (CAM),CAD/CAM (Computer-Aided Design/Computer-Aided Manufacturing)
Aircraft discrepancies reporting,Discrepancy Report
RTL coding (VHDL or Verilog),RTL Design
13 Years of Experience in Property Management,Property Management
High degree of organization and communications skills,Communication Skills
FHWA FAA FTA FRA NEPA FERC and Uniform Relocation Act regulations,Federal Aviation Administration (FAA)
Documentation and evaluation of patient progress,Documentation
Digital Forensic Software,Computer Forensics Software
Strong Experience in Multiple POS Systems,Point of Sale (POS) Systems
Medical Board of Australia (AHPRA),Australian Health Practitioner Regulation Agency
Customer and Vendor Access Control,Access Control
Internal and external audits/examinations and SOX support,Internal Audit
Insurance Regulations Knowledge,Insurance Regulations
V&V test planning and execution,V&V Testing
Intelligence analysis techniques,Intelligence Analysis
CIA Certification,Certified Internal Auditor (CIA)
Employee relations cases,Employee Relations
Microsoft Excel 365,Microsoft Excel
Oral written and interpersonal skills,Interpersonal Skills
2+ years experience in neurology rehabilitation,Neurology
DoD Acquisition Lifecycle Frameworks,DoD Acquisitions
General Landscaping Practices,Landscaping
Previous experience in logistics and freight forwarding,Logistics
Freight forwarding sales,Freight Forwarding
Developing marketing plans,Marketing Plan
Law Firm experience,Legal
Employee management and training,People Management
Operations Forecasting,Forecasting
LAN/WAN Scheduling,Local Area Network (LAN)
System installation and testing,Systems Administration/Management
Analog and Mixed Signal circuits,Mixed Signal Circuits
Ability to obtain sales related licensure or registration,Sales
Continuous Improvement Project Work,Continuous Improvement
Thorough knowledge of medicine,Medicine
Ability to communicate with customers and colleagues,Communication Skills
American Registry of Radiologic Technologists (ARRTN),American Registry of Radiologic Technologists (ARRT)
Advanced Leadership Skills,Leadership
Business and bookkeeping,Bookkeeping
Military,Military
3 & 5Axis Machining,Machining
Supervising dental staff,People Management
Delinquency Management,Past Due Accounts
Junior Lawyer Supervision,Attorney
Internal certification for operation of a pallet jack forklift and HiRise forklift,Forklift
Printed Board Assembly (PBA) Design Specification,Requirements Management
Alternative analysis strategies,Analysis Skills
Active and unencumbered RN/LPN/LVN license,Licensed Practical Nurse/Licensed Vocational Nurse
Bluetooth Protocol,Bluetooth
Distribution Management,Distribution Management
Application Security Workflows,Applications Security
4 Manufacturing Experience,Manufacturing
Student Loan Refinancing,Student Loans
Building Management Systems experience,Property Management
Technical plant accounting,Technical Accounting
Wound documentation,Documentation
EKG skills and certification,Electrocardiogram
Customer Retention,Customer Retention/Renewal
Budgetary control skills,Budgeting
Field/military experience,Military
Completion of a Safe Alcohol Service training program (for those working with alcohol),Training Program
Building electrical power,Electricity
NFPA Electrical Standards,Electricity
Basic Windows Assessment,Microsoft Windows Operating System
Reliability improvement/tracking programs,Reliability Engineering
Work Program Variance Reports,Variance Analysis
Being oncall at all times,On Call
Full LifeCycle Application Software Development,Software Development Lifecycle (SDLC)
ASHA accredited master's degree,ASHA Certification
Patient privacy regulations,Privacy Regulations
ESL PreK12 Endorsement,English as a Second Language (ESL/TESL)
